bOF_1,aOF_1,bOF_2,aOF_2,bOF_3,aOF_3,bOF_4,aOF_4,bOF_5,aOF_5,bOF_6,aOF_6,bOF_7,aOF_7,bOF_8,aOF_8,bOF_9,aOF_9,bOF_10,aOF_10,LABEL_TICK1,time
-0.01485527,0.59619886,-0.09708949,1.98619347,-0.09708679000000002,1.70945,0.0,0.09708953,0.80911403,0.99497721,-0.391,0.09708949,0.16181259,0.80902709,1.26448237,1.29192609,0.23301488,1.61715005,1.1855812,1.94159649,0.0,2024-05-17 19:47:00
0.53488208,-1.70658772,-0.09708832,-1.70945,-0.09708832,-0.09708832,-0.80912882,-0.99497721,-0.391,-0.80902709,-1.42629554,-1.29192609,-1.1855812,-1.94159649,-0.23301552,-3.23599414,7.42539339,-0.43016318,-1.39809461,-0.36714685,0.0,2024-05-17 19:47:03
0.0,0.37795037,0.0970899,0.31386552,0.13592326999999998,0.14644511,0.0,0.17497008,0.0,0.68567866,0.0,1.89410492,1.1855812,1.70945,1.1855812,0.09708911,-1.1855811999999997,0.99497721,0.0,0.09708911,0.0,2024-05-17 19:47:06
-0.18599138000000004,-1.96350889,0.19417664,-1.70945,0.95154415,-0.09708832,0.23301226,-0.99497721,0.391,-0.09708832,0.80912882,-0.80902709,1.26448237,-1.29192609,0.16181358,-1.94159649,1.1855812,-3.23599414,1.1855812,-0.5,0.0,2024-05-17 19:47:10
0.15948428000000003,0.19632313,-0.09708728000000001,0.17517166,-0.85445355,0.07064985,0.96925152,0.06553357,0.23301446,0.04280644,0.391,1.89198432,-0.16181359,1.70945,-1.1855812,0.09708936,-1.1855812,0.99497721,-1.39809461,0.0970906,0.0,2024-05-17 19:47:12
0.002350839999999965,0.15149608,-0.19417928,0.0274508,-0.80912882,0.16226363,-1.28697779,0.11283335,-0.6240142,0.13326775,-1.34739697,0.391,-1.1855812,2.35032554,-1.39809461,1.70945,-3.23668139,0.19417928,-0.51446919,1.80401549,-1.0,2024-05-17 19:47:15
-0.09709193,0.10033581,-0.09709502,0.28839986,-0.80914435,0.62868179,-3.23668139,0.36382958,-0.16182049,0.29780223,-0.23302794,0.48452594,-0.51446919,0.03016599,-1.1855812,0.36353714,-1.1855812,0.09709502,-0.36402248,0.0397,0.0,2024-05-17 19:47:18
0.3533139,-0.08085041,0.09709456,0.0,0.0,6.280000000025154e-06,0.391,0.0,3.23668139,-1.8000000001627825e-07,0.16182049,0.0,0.23302794,-0.09709479,0.51446919,-0.0397,1.1855812,-0.5,1.1855812,-2.35032554,1.0,2024-05-17 19:47:19
0.09709382,-0.4426373,4.531e-05,-0.32462376,0.10077199,-0.288483,0.94837713,-0.07139532,0.80914435,-0.01781529,0.391,-0.0397,1.304065,-0.5,0.16181644,-0.391,3.23668139,-2.35032554,0.23302268,-2.51850135,1.0,2024-05-17 19:47:22
-0.57896637,-0.09709242,-0.65855118,-0.02183803,-0.80914435,-0.09709712,-4.1963303,-0.0397,-0.16181934,-0.5,-1.1855812,-0.391,-0.23302949,-2.35032554,-0.51446919,-2.51850135,-1.1855812,-0.99497721,-0.36402248,-1.29192609,0.0,2024-05-17 19:47:24
